===================
	  Java项目分析报告
===================

1. 类 / 接口汇总
------------------
类 org.apache.commons.math4.core.jdkmath.AccurateMath   [50字段, 87方法, 注释率31%]

org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince853FieldIntegrator 依赖于:
  -> T[][]
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> T[]
  -> org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince853FieldStepInterpolator
  -> org.apache.commons.math4.legacy.core.RealFieldElement
  -> org.apache.commons.math4.legacy.core.MathArrays
  -> org.apache.commons.math4.legacy.ode.nonstiff.EmbeddedRungeKuttaFieldIntegrator

org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince853FieldStepInterpolator 依赖于:
  -> T[][]
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince853FieldStepInterpolator
  -> org.apache.commons.math4.legacy.core.MathArrays
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldStepInterpolator
  -> org.apache.commons.math4.legacy.core.Field

org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince853Integrator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.EmbeddedRungeKuttaIntegrator
  -> org.apache.commons.math4.core.jdkmath.JdkMath

org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince853StepInterpolator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.DormandPrince853StepInterpolator
  -> org.apache.commons.math4.legacy.ode.AbstractIntegrator
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaStepInterpolator
  -> org.apache.commons.math4.legacy.ode.sampling.StepInterpolator
  -> org.apache.commons.math4.legacy.ode.EquationsMapper
  -> EquationsMapper[]
  -> java.io.ObjectOutput
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException
  -> java.io.IOException
  -> java.io.ObjectInput
  -> ClassNotFoundException

org.apache.commons.math4.legacy.ode.nonstiff.EmbeddedRungeKuttaFieldIntegrator 依赖于:
  -> org.apache.commons.math4.legacy.exception.NoBracketingException
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> org.apache.commons.math4.legacy.exception.NumberIsTooSmallException
  -> org.apache.commons.math4.legacy.exception.DimensionMismatchException
  -> org.apache.commons.math4.legacy.core.RealFieldElement
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException
  -> org.apache.commons.math4.legacy.ode.nonstiff.FieldButcherArrayProvider
  -> org.apache.commons.math4.legacy.ode.nonstiff.AdaptiveStepsizeFieldIntegrator
  -> System
  -> T[][]
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> T[]
  -> org.apache.commons.math4.legacy.core.MathArrays
  -> org.apache.commons.math4.legacy.ode.FieldExpandableODE
  -> org.apache.commons.math4.legacy.ode.FieldODEState
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldStepInterpolator

org.apache.commons.math4.legacy.ode.nonstiff.EmbeddedRungeKuttaIntegrator 依赖于:
  -> org.apache.commons.math4.legacy.exception.NoBracketingException
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaStepInterpolator
  -> org.apache.commons.math4.legacy.ode.nonstiff.AdaptiveStepsizeIntegrator
  -> org.apache.commons.math4.legacy.exception.NumberIsTooSmallException
  -> org.apache.commons.math4.legacy.exception.DimensionMismatchException
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException
  -> org.apache.commons.math4.legacy.ode.ExpandableStatefulODE
  -> org.apache.commons.math4.core.jdkmath.JdkMath
  -> System

org.apache.commons.math4.legacy.ode.nonstiff.EulerFieldIntegrator 依赖于:
  -> T[][]
  -> T
  -> org.apache.commons.math4.legacy.ode.nonstiff.EulerFieldStepInterpolator
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> T[]
  -> org.apache.commons.math4.legacy.core.MathArrays
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldIntegrator

org.apache.commons.math4.legacy.ode.nonstiff.EulerFieldStepInterpolator 依赖于:
  -> T[][]
  -> T
  -> org.apache.commons.math4.legacy.ode.nonstiff.EulerFieldStepInterpolator
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldStepInterpolator
  -> org.apache.commons.math4.legacy.core.Field

org.apache.commons.math4.legacy.ode.nonstiff.EulerIntegrator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaIntegrator

org.apache.commons.math4.legacy.ode.nonstiff.EulerStepInterpolator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.EulerStepInterpolator
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaStepInterpolator
  -> org.apache.commons.math4.legacy.ode.sampling.StepInterpolator
  -> System

org.apache.commons.math4.legacy.ode.nonstiff.FieldButcherArrayProvider 依赖于:
  -> T[][]
  -> T
  -> T[]

org.apache.commons.math4.legacy.ode.nonstiff.GillFieldIntegrator 依赖于:
  -> T[][]
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> T[]
  -> org.apache.commons.math4.legacy.core.MathArrays
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldIntegrator
  -> org.apache.commons.math4.legacy.ode.nonstiff.GillFieldStepInterpolator

org.apache.commons.math4.legacy.ode.nonstiff.GillFieldStepInterpolator 依赖于:
  -> T[][]
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldStepInterpolator
  -> org.apache.commons.math4.legacy.core.Field
  -> org.apache.commons.math4.legacy.ode.nonstiff.GillFieldStepInterpolator

org.apache.commons.math4.legacy.ode.nonstiff.GillIntegrator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaIntegrator

org.apache.commons.math4.legacy.ode.nonstiff.GillStepInterpolator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaStepInterpolator
  -> org.apache.commons.math4.legacy.ode.sampling.StepInterpolator
  -> org.apache.commons.math4.legacy.ode.nonstiff.GillStepInterpolator

org.apache.commons.math4.legacy.ode.nonstiff.GraggBulirschStoerIntegrator 依赖于:
  -> org.apache.commons.math4.legacy.exception.NoBracketingException
  -> org.apache.commons.math4.legacy.exception.DimensionMismatchException
  -> org.apache.commons.math4.legacy.exception.NumberIsTooSmallException
  -> org.apache.commons.math4.legacy.ode.events.EventHandler
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException
  -> org.apache.commons.math4.legacy.ode.sampling.StepHandler
  -> org.apache.commons.math4.legacy.ode.sampling.AbstractStepInterpolator
  -> org.apache.commons.math4.core.jdkmath.JdkMath
  -> System
  -> org.apache.commons.math4.legacy.ode.nonstiff.AdaptiveStepsizeIntegrator
  -> org.apache.commons.math4.legacy.ode.nonstiff.GraggBulirschStoerStepInterpolator
  -> org.apache.commons.math4.legacy.ode.ExpandableStatefulODE
  -> org.apache.commons.math4.legacy.analysis.solvers.UnivariateSolver

org.apache.commons.math4.legacy.ode.nonstiff.GraggBulirschStoerStepInterpolator 依赖于:
  -> org.apache.commons.math4.legacy.ode.sampling.StepInterpolator
  -> org.apache.commons.math4.legacy.ode.nonstiff.GraggBulirschStoerStepInterpolator
  -> java.io.ObjectOutput
  -> java.io.IOException
  -> java.io.ObjectInput
  -> org.apache.commons.math4.legacy.ode.sampling.AbstractStepInterpolator
  -> ClassNotFoundException
  -> System
  -> org.apache.commons.math4.core.jdkmath.JdkMath

org.apache.commons.math4.legacy.ode.nonstiff.HighamHall54FieldIntegrator 依赖于:
  -> T[][]
  -> org.apache.commons.math4.legacy.ode.nonstiff.HighamHall54FieldStepInterpolator
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> T[]
  -> org.apache.commons.math4.legacy.core.RealFieldElement
  -> org.apache.commons.math4.legacy.core.MathArrays
  -> org.apache.commons.math4.legacy.ode.nonstiff.EmbeddedRungeKuttaFieldIntegrator

org.apache.commons.math4.legacy.ode.nonstiff.HighamHall54FieldStepInterpolator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.HighamHall54FieldStepInterpolator
  -> T[][]
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldStepInterpolator
  -> org.apache.commons.math4.legacy.core.Field

org.apache.commons.math4.legacy.ode.nonstiff.HighamHall54Integrator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.EmbeddedRungeKuttaIntegrator
  -> org.apache.commons.math4.core.jdkmath.JdkMath

org.apache.commons.math4.legacy.ode.nonstiff.HighamHall54StepInterpolator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaStepInterpolator
  -> org.apache.commons.math4.legacy.ode.sampling.StepInterpolator
  -> org.apache.commons.math4.legacy.ode.nonstiff.HighamHall54StepInterpolator

org.apache.commons.math4.legacy.ode.nonstiff.LutherFieldIntegrator 依赖于:
  -> T[][]
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> T[]
  -> org.apache.commons.math4.legacy.core.MathArrays
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldIntegrator
  -> org.apache.commons.math4.legacy.ode.nonstiff.LutherFieldStepInterpolator

org.apache.commons.math4.legacy.ode.nonstiff.LutherFieldStepInterpolator 依赖于:
  -> T[][]
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> org.apache.commons.math4.legacy.ode.nonstiff.LutherFieldStepInterpolator
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldStepInterpolator
  -> org.apache.commons.math4.legacy.core.Field

org.apache.commons.math4.legacy.ode.nonstiff.LutherIntegrator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaIntegrator

org.apache.commons.math4.legacy.ode.nonstiff.LutherStepInterpolator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaStepInterpolator
  -> org.apache.commons.math4.legacy.ode.sampling.StepInterpolator
  -> org.apache.commons.math4.legacy.ode.nonstiff.LutherStepInterpolator

org.apache.commons.math4.legacy.ode.nonstiff.MidpointFieldIntegrator 依赖于:
  -> T[][]
  -> org.apache.commons.math4.legacy.ode.nonstiff.MidpointFieldStepInterpolator
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> T[]
  -> org.apache.commons.math4.legacy.core.MathArrays
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldIntegrator

org.apache.commons.math4.legacy.ode.nonstiff.MidpointFieldStepInterpolator 依赖于:
  -> T[][]
  -> org.apache.commons.math4.legacy.ode.nonstiff.MidpointFieldStepInterpolator
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldStepInterpolator
  -> org.apache.commons.math4.legacy.core.Field

org.apache.commons.math4.legacy.ode.nonstiff.MidpointIntegrator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaIntegrator

org.apache.commons.math4.legacy.ode.nonstiff.MidpointStepInterpolator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.MidpointStepInterpolator
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaStepInterpolator
  -> org.apache.commons.math4.legacy.ode.sampling.StepInterpolator

org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldIntegrator 依赖于:
  -> org.apache.commons.math4.legacy.exception.NoBracketingException
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> org.apache.commons.math4.legacy.exception.NumberIsTooSmallException
  -> org.apache.commons.math4.legacy.exception.DimensionMismatchException
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException
  -> org.apache.commons.math4.legacy.ode.nonstiff.FieldButcherArrayProvider
  -> System
  -> org.apache.commons.math4.legacy.ode.FirstOrderFieldDifferentialEquations
  -> T[][]
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> T[]
  -> org.apache.commons.math4.legacy.core.MathArrays
  -> org.apache.commons.math4.legacy.ode.FieldExpandableODE
  -> org.apache.commons.math4.legacy.ode.FieldODEState
  -> org.apache.commons.math4.legacy.ode.AbstractFieldIntegrator
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldStepInterpolator

org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldStepInterpolator 依赖于:
  -> org.apache.commons.math4.legacy.ode.sampling.AbstractFieldStepInterpolator
  -> T[][]
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> T[]
  -> org.apache.commons.math4.legacy.core.MathArrays
  -> org.apache.commons.math4.legacy.core.Field
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldStepInterpolator

org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaIntegrator 依赖于:
  -> org.apache.commons.math4.legacy.exception.NoBracketingException
  -> org.apache.commons.math4.legacy.ode.AbstractIntegrator
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaStepInterpolator
  -> org.apache.commons.math4.legacy.exception.NumberIsTooSmallException
  -> org.apache.commons.math4.legacy.exception.DimensionMismatchException
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException
  -> org.apache.commons.math4.legacy.ode.ExpandableStatefulODE
  -> System
  -> org.apache.commons.math4.legacy.ode.FirstOrderDifferentialEquations

org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaStepInterpolator 依赖于:
  -> org.apache.commons.math4.legacy.ode.AbstractIntegrator
  -> org.apache.commons.math4.legacy.ode.EquationsMapper
  -> EquationsMapper[]
  -> java.io.ObjectOutput
  -> java.io.IOException
  -> java.io.ObjectInput
  -> org.apache.commons.math4.legacy.ode.sampling.AbstractStepInterpolator
  -> ClassNotFoundException

org.apache.commons.math4.legacy.ode.nonstiff.ThreeEighthesFieldIntegrator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.ThreeEighthesFieldStepInterpolator
  -> T[][]
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> T[]
  -> org.apache.commons.math4.legacy.core.MathArrays
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldIntegrator

org.apache.commons.math4.legacy.ode.nonstiff.ThreeEighthesFieldStepInterpolator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.ThreeEighthesFieldStepInterpolator
  -> T[][]
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaFieldStepInterpolator
  -> org.apache.commons.math4.legacy.core.Field

org.apache.commons.math4.legacy.ode.nonstiff.ThreeEighthesIntegrator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaIntegrator

org.apache.commons.math4.legacy.ode.nonstiff.ThreeEighthesStepInterpolator 依赖于:
  -> org.apache.commons.math4.legacy.ode.nonstiff.ThreeEighthesStepInterpolator
  -> org.apache.commons.math4.legacy.ode.nonstiff.RungeKuttaStepInterpolator
  -> org.apache.commons.math4.legacy.ode.sampling.StepInterpolator

org.apache.commons.math4.legacy.ode.ODEIntegrator 依赖于:
  -> java.util.Collection
  -> org.apache.commons.math4.legacy.ode.events.EventHandler
  -> org.apache.commons.math4.legacy.ode.sampling.StepHandler
  -> org.apache.commons.math4.legacy.analysis.solvers.UnivariateSolver

org.apache.commons.math4.legacy.ode.ParameterConfiguration 依赖于:
  -> java.io.Serializable

org.apache.commons.math4.legacy.ode.Parameterizable 依赖于:
  -> java.util.Collection

org.apache.commons.math4.legacy.ode.ParameterizedODE 依赖于:
  -> org.apache.commons.math4.legacy.ode.Parameterizable
  -> org.apache.commons.math4.legacy.ode.UnknownParameterException

org.apache.commons.math4.legacy.ode.ParameterizedWrapper 依赖于:
  -> org.apache.commons.math4.legacy.ode.UnknownParameterException
  -> org.apache.commons.math4.legacy.exception.DimensionMismatchException
  -> java.util.Collection
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException
  -> org.apache.commons.math4.legacy.ode.ParameterizedODE
  -> org.apache.commons.math4.legacy.ode.FirstOrderDifferentialEquations
  -> java.util.ArrayList

org.apache.commons.math4.legacy.ode.ParameterJacobianProvider 依赖于:
  -> org.apache.commons.math4.legacy.ode.Parameterizable
  -> org.apache.commons.math4.legacy.ode.UnknownParameterException
  -> org.apache.commons.math4.legacy.exception.DimensionMismatchException
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException

org.apache.commons.math4.legacy.ode.ParameterJacobianWrapper 依赖于:
  -> java.util.Arrays
  -> org.apache.commons.math4.legacy.exception.DimensionMismatchException
  -> java.util.Map
  -> java.util.Collection
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException
  -> org.apache.commons.math4.legacy.ode.ParameterJacobianProvider
  -> org.apache.commons.math4.legacy.ode.FirstOrderDifferentialEquations
  -> org.apache.commons.math4.legacy.ode.ParameterizedODE

org.apache.commons.math4.legacy.ode.sampling.AbstractFieldStepInterpolator 依赖于:
  -> org.apache.commons.math4.legacy.ode.sampling.AbstractFieldStepInterpolator
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.FieldEquationsMapper
  -> org.apache.commons.math4.legacy.ode.sampling.FieldStepInterpolator
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException

org.apache.commons.math4.legacy.ode.sampling.AbstractStepInterpolator 依赖于:
  -> org.apache.commons.math4.legacy.ode.sampling.StepInterpolator
  -> org.apache.commons.math4.legacy.ode.EquationsMapper
  -> EquationsMapper[]
  -> java.io.ObjectOutput
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException
  -> java.io.IOException
  -> java.io.ObjectInput
  -> ClassNotFoundException

org.apache.commons.math4.legacy.ode.sampling.DummyStepHandler 依赖于:
  -> org.apache.commons.math4.legacy.ode.sampling.StepInterpolator
  -> org.apache.commons.math4.legacy.ode.sampling.StepHandler
  -> org.apache.commons.math4.legacy.ode.sampling.DummyStepHandler

org.apache.commons.math4.legacy.ode.sampling.FieldFixedStepHandler 依赖于:
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative

org.apache.commons.math4.legacy.ode.sampling.FieldStepHandler 依赖于:
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.sampling.FieldStepInterpolator
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException

org.apache.commons.math4.legacy.ode.sampling.FieldStepInterpolator 依赖于:
  -> T
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative

org.apache.commons.math4.legacy.ode.sampling.FieldStepNormalizer 依赖于:
  -> org.apache.commons.math4.legacy.ode.sampling.StepNormalizerBounds
  -> T
  -> org.apache.commons.math4.legacy.ode.sampling.FieldFixedStepHandler
  -> org.apache.commons.math4.legacy.ode.FieldODEStateAndDerivative
  -> org.apache.commons.math4.legacy.ode.sampling.FieldStepInterpolator
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException
  -> org.apache.commons.math4.legacy.ode.sampling.StepNormalizerMode
  -> org.apache.commons.numbers.core.Precision
  -> org.apache.commons.math4.legacy.ode.sampling.FieldStepHandler
  -> org.apache.commons.math4.core.jdkmath.JdkMath

org.apache.commons.math4.legacy.ode.sampling.NordsieckStepInterpolator 依赖于:
  -> org.apache.commons.math4.legacy.linear.Array2DRowRealMatrix
  -> java.util.Arrays
  -> org.apache.commons.math4.legacy.ode.sampling.StepInterpolator
  -> org.apache.commons.math4.legacy.ode.EquationsMapper
  -> java.io.ObjectOutput
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException
  -> java.io.IOException
  -> org.apache.commons.math4.legacy.ode.sampling.AbstractStepInterpolator
  -> org.apache.commons.math4.core.jdkmath.JdkMath
  -> EquationsMapper[]
  -> org.apache.commons.math4.legacy.ode.sampling.NordsieckStepInterpolator
  -> java.io.ObjectInput
  -> ClassNotFoundException

org.apache.commons.math4.legacy.ode.sampling.StepHandler 依赖于:
  -> org.apache.commons.math4.legacy.ode.sampling.StepInterpolator
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException

org.apache.commons.math4.legacy.ode.sampling.StepInterpolator 依赖于:
  -> org.apache.commons.math4.legacy.ode.sampling.StepInterpolator
  -> java.io.Externalizable
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException

org.apache.commons.math4.legacy.ode.sampling.StepNormalizer 依赖于:
  -> org.apache.commons.math4.legacy.ode.sampling.StepNormalizerBounds
  -> org.apache.commons.math4.legacy.ode.sampling.StepInterpolator
  -> org.apache.commons.math4.legacy.ode.sampling.FixedStepHandler
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException
  -> org.apache.commons.math4.legacy.ode.sampling.StepNormalizerMode
  -> org.apache.commons.numbers.core.Precision
  -> org.apache.commons.math4.legacy.ode.sampling.StepHandler
  -> org.apache.commons.math4.core.jdkmath.JdkMath
  -> System

org.apache.commons.math4.legacy.ode.SecondaryEquations 依赖于:
  -> org.apache.commons.math4.legacy.exception.DimensionMismatchException
  -> org.apache.commons.math4.legacy.exception.MaxCountExceededException

org.apache.commons.math4.legacy.ode.SecondOrderIntegrator 依赖于:
  -> org.apache.commons.math4.legacy.exception.MathIllegalStateException
  -> org.apache.commons.math4.legacy.ode.ODEIntegrator
  -> org.apache.commons.math4.legacy.exception.MathIllegalArgumentException
  -> org.apache.commons.math4.legacy.ode.SecondOrderDifferentialEquations

org.apache.commons.math4.legacy.ode.UnknownParameterException 依赖于:
  -> org.apache.commons.math4.legacy.exception.MathIllegalArgumentException

org.apache.commons.math4.legacy.optim.AbstractConvergenceChecker 依赖于:
  -> org.apache.commons.math4.legacy.optim.ConvergenceChecker
  -> PAIR

org.apache.commons.math4.legacy.optim.AbstractOptimizationProblem 依赖于:
  -> org.apache.commons.math4.legacy.optim.ConvergenceChecker
  -> IntegerSequence.Incrementor.create()
  -> MaxIterCallback
  -> org.apache.commons.math4.legacy.optim.OptimizationProblem
  -> Incrementor
  -> MaxEvalCallback
  -> IntegerSequence.Incrementor
  -> IntegerSequence.Incrementor.create().withMaximalCount(maxEvaluations)
  -> org.apache.commons.math4.legacy.core.IntegerSequence
  -> IntegerSequence.Incrementor.create().withMaximalCount(maxIterations)
  -> PAIR

org.apache.commons.math4.legacy.optim.BaseMultiStartMultivariateOptimizer 依赖于:
  -> OptimizationData[]
  -> org.apache.commons.math4.legacy.exception.MathIllegalStateException
  -> org.apache.commons.math4.legacy.optim.BaseMultivariateOptimizer
  -> org.apache.commons.math4.legacy.optim.MaxEval
  -> org.apache.commons.math4.legacy.exception.TooManyEvaluationsException
  -> RuntimeException
  -> PAIR[]
  -> org.apache.commons.math4.legacy.optim.InitialGuess
  -> java.util.function.Supplier
  -> org.apache.commons.math4.legacy.optim.OptimizationData
  -> PAIR

org.apache.commons.math4.legacy.optim.BaseMultivariateOptimizer 依赖于:
  -> org.apache.commons.math4.legacy.exception.DimensionMismatchException
  -> org.apache.commons.math4.legacy.exception.NumberIsTooSmallException
  -> org.apache.commons.math4.legacy.optim.BaseOptimizer
  -> org.apache.commons.math4.legacy.optim.SimpleBounds
  -> org.apache.commons.math4.legacy.optim.InitialGuess
  -> org.apache.commons.math4.legacy.exception.NumberIsTooLargeException
  -> org.apache.commons.math4.legacy.optim.OptimizationData
  -> PAIR

org.apache.commons.math4.legacy.optim.BaseOptimizer 依赖于:
  -> org.apache.commons.math4.legacy.optim.ConvergenceChecker
  -> org.apache.commons.math4.legacy.optim.MaxEval
  -> IntegerSequence.Incrementor.create()
  -> org.apache.commons.math4.legacy.optim.Tolerance
  -> MaxIterCallback
  -> org.apache.commons.math4.legacy.optim.MaxIter
  -> MaxEvalCallback
  -> IntegerSequence.Incrementor
  -> org.apache.commons.math4.legacy.optim.OptimizationData
  -> IntegerSequence.Incrementor.create().withMaximalCount(maxEvaluations)
  -> IntegerSequence.Incrementor.create().withMaximalCount(maxIterations)
  -> PAIR

org.apache.commons.math4.legacy.optim.ConvergenceChecker 依赖于:
  -> org.apache.commons.math4.legacy.optim.OptimizationData
  -> PAIR

org.apache.commons.math4.legacy.optim.InitialGuess 依赖于:
  -> org.apache.commons.math4.legacy.optim.OptimizationData

org.apache.commons.math4.legacy.optim.linear.LinearConstraint 依赖于:
  -> org.apache.commons.math4.legacy.optim.linear.Relationship
  -> Double.valueOf(value)
  -> org.apache.commons.math4.legacy.optim.linear.LinearConstraint
  -> org.apache.commons.math4.legacy.linear.RealVector

org.apache.commons.math4.legacy.optim.linear.LinearConstraintSet 依赖于:
  -> java.util.Collection
  -> java.util.Set
  -> java.util.Collections
  -> org.apache.commons.math4.legacy.optim.OptimizationData
  -> org.apache.commons.math4.legacy.optim.linear.LinearConstraint

org.apache.commons.math4.legacy.optim.linear.LinearObjectiveFunction 依赖于:
  -> org.apache.commons.math4.legacy.linear.ArrayRealVector
  -> org.apache.commons.math4.legacy.analysis.MultivariateFunction
  -> org.apache.commons.math4.legacy.optim.linear.LinearObjectiveFunction
  -> org.apache.commons.math4.legacy.optim.OptimizationData
  -> Double.valueOf(constantTerm)
  -> org.apache.commons.math4.legacy.linear.RealVector

org.apache.commons.math4.legacy.optim.linear.LinearOptimizer 依赖于:
  -> org.apache.commons.math4.legacy.exception.TooManyIterationsException
  -> org.apache.commons.math4.legacy.optim.linear.NonNegativeConstraint
  -> java.util.Collection
  -> org.apache.commons.math4.legacy.optim.nonlinear.scalar.MultivariateOptimizer
  -> org.apache.commons.math4.legacy.optim.linear.LinearObjectiveFunction
  -> java.util.Collections
  -> org.apache.commons.math4.legacy.optim.linear.LinearConstraint
  -> org.apache.commons.math4.legacy.optim.OptimizationData
  -> org.apache.commons.math4.legacy.optim.linear.LinearConstraintSet
  -> org.apache.commons.math4.legacy.optim.PointValuePair

org.apache.commons.math4.legacy.optim.linear.NoFeasibleSolutionException 依赖于:
  -> org.apache.commons.math4.legacy.exception.MathIllegalStateException

org.apache.commons.math4.legacy.optim.linear.NonNegativeConstraint 依赖于:
  -> org.apache.commons.math4.legacy.optim.OptimizationData

